
smiles,prediction,mean_similarity,in_AD,MolWt,MolLogP,HBD,HBA,RotatableBonds
C=CC(=O)N1CCC(C2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,8.508821487426758,0.8290831105169341,True,471.56100000000015,4.2226000000000035,2,6,6
C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,8.45285701751709,0.8533024869866974,True,440.5070000000003,4.217300000000003,1,7,5
C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\[N-]C(C)(C5N=C1C(C)(CCC(=O)NCC(C)OP(=O)([O-])OC1C(CO)OC(n6cnc7cc(C)c(C)cc76)C1O)C5CC(N)=O)C(C)(CC(N)=O)C4CCC(N)=O)C(C)(CC(N)=O)C3CCC(N)=O)C(C)(C)C2CCC(N)=O,8.34984302520752,0.13326187026856223,False,1270.4369999999994,3.315340000000007,9,19,26
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,8.302236557006836,0.42318187764591586,False,488.01700000000017,3.3135400000000006,3,9,7
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,8.302236557006836,0.42318187764591586,False,488.01700000000034,3.3135400000000015,3,9,7
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,8.302236557006836,0.42318187764591586,False,488.01700000000034,3.3135400000000015,3,9,7
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)c1,8.124449729919434,0.6997030193621465,True,486.6010000000002,5.103500000000003,2,8,7
[CH3][Co+][N]1/C2=C(/C)C3=N/C(=C\C4=N/C(=C(/C)C5=NC(C(CC(N)=O)C5(C)CCC(=O)NCC(C)OP(=O)([O-])OC5C(CO)OC(n6cnc7cc(C)c(C)cc76)C5O)C1(C)C(C)(CC(N)=O)C2CCC(N)=O)C(CCC(N)=O)C4(C)C)C(CCC(N)=O)C3(C)CC(N)=O,8.112530708312988,0.13384734673848753,False,1344.405,3.289240000000013,9,20,27
COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,8.025958061218262,0.4638202731847592,False,530.4560000000005,5.1903800000000055,1,8,9
CC(OC1OCCN(Cc2nn(P(=O)(O)O)c(=O)[nH]2)C1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,7.971537113189697,0.20555622878400315,False,614.4110000000004,4.366300000000003,3,7,7
COc1ccc(CN2C3CC2CN(c2ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn2)C3)cn1,7.970327377319336,0.22204312653194816,False,525.6130000000003,3.2843800000000014,1,10,8
COc1c(OC2OC(CO)C(O)C(O)C2O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1C(NC(C)=O)CC2,7.958418846130371,0.1779531800339398,False,563.6250000000003,0.7549999999999994,5,11,7
Cc1nc(NC(=O)N2CCCC2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,7.947486877441406,0.26254667662434655,False,441.4790000000001,3.835020000000002,2,5,4
O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1C3CCC(C3)OC1C2,7.904989242553711,0.20157659761260865,False,449.3850000000001,1.6344,2,6,3
O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1C3CCC(C3)OC1C2,7.904989242553711,0.20157659761260865,False,449.3850000000001,1.6344,2,6,3
Cc1nc(C(=O)NCC(=O)O)c(O)c2ccc(Oc3ccccc3)cc12,7.877487659454346,0.3237168564437508,False,352.3460000000001,2.8555200000000003,3,5,5
CC#CC(=O)N1CCC(n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,7.8604350090026855,0.8868100015926104,True,454.4900000000002,2.7534,1,8,4
COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O,7.856689453125,0.36411241175098813,False,426.8600000000002,4.071900000000001,3,5,6
COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O,7.856689453125,0.36411241175098813,False,426.8600000000002,4.071900000000001,3,5,6
C=CCN1CCCC1CNC(=O)c1cc2nn[nH]c2cc1OC,7.849727630615234,0.27430977466323564,False,315.37699999999995,1.3466999999999998,2,5,6
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,7.84283971786499,0.27470767065256296,False,383.4080000000002,1.7845999999999997,1,8,4
